iter	Accuracy	Logloss
70	0.8354961832	0.4043393408
71	0.8374045802	0.4034895333
72	0.8377862595	0.4013109597
73	0.8377862595	0.4002713869
74	0.8389312977	0.3993134078
75	0.8396946565	0.3970876157
76	0.8419847328	0.3954167761
77	0.8419847328	0.3943232254
78	0.8419847328	0.3932391695
79	0.843129771	0.3925685708
80	0.8465648855	0.3914212284
81	0.8465648855	0.3900308083
82	0.8492366412	0.3878467244
83	0.8492366412	0.3864043867
84	0.8503816794	0.3859356156
85	0.8503816794	0.3850004171
86	0.8515267176	0.3840964002
87	0.8519083969	0.3829599013
88	0.8511450382	0.3824519695
89	0.8503816794	0.3816590778
90	0.8515267176	0.3806384742
91	0.8519083969	0.3800139599
92	0.8522900763	0.3795620476
93	0.8530534351	0.3785665749
94	0.8530534351	0.3779472972
95	0.8530534351	0.3773298217
96	0.8526717557	0.3762593326
97	0.8538167939	0.3756492722
98	0.8541984733	0.3747767508
99	0.8549618321	0.3740758811
100	0.8564885496	0.3734959865
101	0.856870229	0.3726547821
102	0.8564885496	0.3717971113
103	0.856870229	0.3713045089
104	0.8583969466	0.3705347089
105	0.858778626	0.3677534376
106	0.858778626	0.3667961921
107	0.858778626	0.3659350037
108	0.8576335878	0.3650919825
109	0.858778626	0.3646188493
110	0.8606870229	0.3639861882
111	0.8595419847	0.3635712102
112	0.8591603053	0.3631077774
113	0.8591603053	0.3623911639
114	0.8610687023	0.3613844494
115	0.8614503817	0.3606568501
116	0.8610687023	0.3597162203
117	0.8614503817	0.3591838586
118	0.8618320611	0.3578402854
119	0.8622137405	0.3570306361
120	0.8622137405	0.3556286442
121	0.8614503817	0.3548789031
122	0.8625954198	0.3539355764
123	0.8629770992	0.3531080783
124	0.8645038168	0.3523927605
125	0.8641221374	0.3517481091
126	0.863740458	0.3496820933
127	0.8645038168	0.3487220807
128	0.865648855	0.3481357702
129	0.8671755725	0.3474079433
130	0.8671755725	0.3459456716
131	0.8671755725	0.3448712905
132	0.8687022901	0.3440180617
133	0.8702290076	0.3430845663
134	0.8713740458	0.3420819773
135	0.8732824427	0.3415710274
136	0.8729007634	0.3405906814
137	0.8744274809	0.3399855856
138	0.8751908397	0.3391759938
139	0.8755725191	0.3383966006
140	0.8759541985	0.3379417016
141	0.8751908397	0.3357162644
142	0.8751908397	0.3351404735
143	0.8755725191	0.3345545077
144	0.8759541985	0.3337929881
145	0.8759541985	0.3331783611
146	0.8759541985	0.3326612831
147	0.8778625954	0.3320984766
148	0.8786259542	0.3315083997
149	0.8786259542	0.3312575383
150	0.8770992366	0.33054676
151	0.8782442748	0.3294877593
152	0.879389313	0.3285697632
153	0.8805343511	0.3266304543
154	0.8812977099	0.3261659478
155	0.8805343511	0.3257785131
156	0.8816793893	0.3251957247
157	0.8812977099	0.3241741634
158	0.8812977099	0.3231273837
159	0.8824427481	0.3222332031
160	0.8824427481	0.321755186
161	0.8828244275	0.3211252136
162	0.884351145	0.320349955
163	0.8835877863	0.3191799547
164	0.884351145	0.3184065999
165	0.886259542	0.3178012385
166	0.8870229008	0.3173433332
167	0.8881679389	0.3167002478
168	0.8874045802	0.3149762308
169	0.8881679389	0.3143095284
170	0.8877862595	0.3138019851
171	0.8877862595	0.3130635904
172	0.8877862595	0.3122411101
173	0.8881679389	0.3111897545
174	0.8896946565	0.3100898678
175	0.8896946565	0.3094673576
176	0.891221374	0.3085449191
177	0.891221374	0.307970843
178	0.8919847328	0.3074152116
179	0.893129771	0.3067242604
180	0.8935114504	0.3061194117
181	0.8950381679	0.3049989136
182	0.893129771	0.3043449836
183	0.8938931298	0.3034924673
184	0.8946564885	0.3029457492
185	0.8946564885	0.3005249636
186	0.8946564885	0.2989331016
187	0.8950381679	0.2970438104
188	0.8950381679	0.2963450251
189	0.8946564885	0.2957490339
190	0.8965648855	0.2950204088
191	0.8954198473	0.2943969243
192	0.8965648855	0.2939506275
193	0.8980916031	0.2931720339
194	0.8984732824	0.2925250724
195	0.8984732824	0.2916891418
196	0.9	0.2908865409
197	0.9007633588	0.2902695865
198	0.8988549618	0.2897313116
199	0.8988549618	0.2891586297
200	0.8992366412	0.2886706258
201	0.9003816794	0.2880260599
202	0.9007633588	0.2876322151
203	0.9011450382	0.2870136931
204	0.9019083969	0.2865680352
205	0.9030534351	0.2860702294
206	0.9041984733	0.2846922586
207	0.9041984733	0.2839561952
208	0.9041984733	0.2832858188
209	0.9041984733	0.2826702442
210	0.9041984733	0.2815399144
211	0.9049618321	0.2811476839
212	0.9053435115	0.2805635054
213	0.9061068702	0.2797216206
214	0.9064885496	0.2790813217
215	0.9061068702	0.2783995728
216	0.9076335878	0.2778281703
217	0.9080152672	0.2773072996
218	0.9083969466	0.2763522019
219	0.9091603053	0.27482675
220	0.9099236641	0.2742458052
221	0.9099236641	0.2737664563
222	0.9099236641	0.2732091248
223	0.9099236641	0.2726356742
224	0.9103053435	0.271919935
225	0.9103053435	0.270753963
226	0.9106870229	0.2702675843
227	0.9118320611	0.2698587861
228	0.9141221374	0.2690230008
229	0.9141221374	0.2684446629
230	0.915648855	0.2678324896
231	0.9167938931	0.2671399711
232	0.9171755725	0.2666614005
233	0.9175572519	0.2660761467
234	0.9190839695	0.2655838416
235	0.9202290076	0.2641459282
236	0.920610687	0.2635703831
237	0.920610687	0.2629839398
238	0.9202290076	0.262245158
239	0.9202290076	0.2613987565
240	0.9217557252	0.2608339474
241	0.9217557252	0.2599842111
242	0.922519084	0.2591743071
243	0.922519084	0.2587292683
244	0.9232824427	0.2580394408
245	0.9236641221	0.2573600914
246	0.9236641221	0.256773005
247	0.9240458015	0.2563887835
248	0.9240458015	0.255695911
249	0.9248091603	0.2552217839
250	0.9248091603	0.2548677304
251	0.9248091603	0.2541668369
252	0.9255725191	0.2535837899
253	0.9263358779	0.2531373127
254	0.927480916	0.2526152794
255	0.927480916	0.2522054622
